cik,fy,bankrupt_2y,assets,liabilities,current_assets,current_liabilities,cash,inventory,receivables,equity,retained_earnings,revenue,cogs,gross_profit,operating_income,net_income,rd_expense,sga_expense,interest_expense,depreciation,short_debt,long_debt,total_debt,debt,leverage_liabilities_assets,leverage_debt_assets,debt_equity,roa,asset_turnover,current_ratio,asset_growth,revenue_growth,lag_assets,lag_revenue,lag_roa,lag_leverage_debt_assets
1378774,2011,0,,87592000,,,29819000,,,79617000,,,,,867000,-6319000,,,1053000,4072000,,,,,,,0,,,,,,,,,
1379661,2011,0,51900000,,,609800000,143200000,92100000,,,,,,771300000,354900000,,,,159800000,166700000,,250000000,,250000000,,4.8169556840077075,,,,NaN,,,,,,
1384135,2011,0,175898554,,151093314,36471962,12419922,53648549,,2872006,41500015,65221104,,44711917,26691040,22698443,,,925250,1678653,,2281023,,2281023,,0.012967832583774395,0.7942264048194886,0.1290428061165301,0.3707881760074048,4.142725143220976,,,,,,
1388486,2011,0,16513,,16513,353676,16513,,0,34117,-7115677,0,,,,-1896158,,,15866,3024,,,,,,0,0,-114.82819596681402,0,0.046689625532973685,,,,,,
1389170,2011,0,519900000,,866500000,,252400000,,,0,-70100000,,,,351100000,29300000,,,110900000,181000000,,0,,,,0,,0.056356991729178685,,,,,,,,
1389217,2011,0,436990,,420269,502083,,,109556,-1248033,-1248033,,,1149680,-159072,-1096276,,,,,,,,,,0,0,-2.5086981395455275,,0.8370508461748356,,,,,,
1396426,2011,1,2778300000,3735200000,1602400000,933000000,422800000,1059900000,,600000,-1544800000,2435100000,2247200000,187900000,-173900000,-451600000,94300000,270500000,154600000,,,2055100000,,2055100000,1.344419249181154,0.7396969369758486,3425.1666666666665,-0.16254544145700608,0.876471223409999,1.717470525187567,,,,,,
1401521,2011,0,240215000,,,,71644000,,,-431000,53003000,96418000,,,,4057000,,,3177000,,,,,,,0,0,0.016889036904439773,0.40138209520637763,,,,,,,
1402357,2011,0,442,,442,395391,442,,,-214328,,,,,,-56153,,,6719,,,,,,,0,0,-127.04298642533936,,0.0011178807813025588,,,,,,
1405227,2011,0,947237,2139917,16313,1169077,5871,,,4865,-9803499,,,,,-2006033,,314835,198813,320,,,,,2.2591146671846642,0,0,-2.1177730599628184,,0.013953742995542638,,,,,,
1405286,2011,0,2626715,2690280,352133,2685280,4137,441880,154230,35720,-5248881,950797,,,,-16157337,,,-433895,,,,,,1.0241994278024071,0,0,-6.151157243933963,0.3619718926491835,0.13113455580051242,,,,,,
1410567,2011,0,307361213,126805993,,,6438091,,,125714066,,7875143,3123018,,-7847803,-12790815,,,1877750,24690023,,,,,0.4125634193147201,0,0,-0.041614928816668874,0.025621785270609276,,,,,,,
1410997,2011,0,2130575000,730371000,,,31985000,,,-3878000,-166265000,129120000,,,7854000,181000,,,18109000,68940000,,,,,0.34280464193938254,0,0,0.00008495359234009598,0.06060335824836018,,,,,,,
1411494,2011,0,7975873000,3470953000,,,738679000,,,11359000,-2426197000,2109898000,,,,202235000,,,40850000,11472000,,,,,0.43518157824228143,0,0,0.02535584505921797,0.2645350546579666,,,,,,,
14177,2011,0,60523000,32128000,,11651000,13911000,16307000,,23096000,23096000,118263000,,37527000,,4319000,,41569000,,,,,,,0.5308395155560696,0,0,0.07136130066255804,1.9540174809576525,NaN,,,,,,
1418115,2011,0,,,17042,445661,,,1968,-1015851,-2612390,,,396708,,-1008604,9936,,,,,,,,,,0,,,0.03823982803072291,,,,,,
1418134,2011,0,,,20862625,,17932447,645777,1990127,14908,,29657846,,9220588,,5925981,,2068460,,,,,,,,,0,,,,,,,,,
